source_file,rollout_tag,family,method,model_label,policy_relative,checkpoint_step,kl_beta,up_lambda,n_examples,primary_judge,mean_R_phi,mean_R_dagger_anthropic,mean_R_dagger_openai,mean_judge_avg,mean_u,mean_kl_sft,spearman_rho_u_abs_err,mean_judge_disagreement_abs,Delta_hack_proxy_anthropic,Delta_hack_proxy_openai
rollout_summary_reward_hack_search_beta0p01_policy_step_300.json,reward_hack_search_beta0p01_policy_step_300,ppo_beta0p01,PPO,dpo,reward_hack_search_beta0p01/policy_step_300,300,0.01,0.0,64,anthropic,-0.7791395490543079,2.8515625,3.671875,3.26171875,0.19507266750582028,0.0948180090636015,0.26442307692307687,1.2734375,-3.630702049054308,-4.451014549054308
rollout_summary_reward_hack_search_beta0p01_policy_step_350.json,reward_hack_search_beta0p01_policy_step_350,ppo_beta0p01,PPO,sft,reward_hack_search_beta0p01/policy_step_350,350,0.01,0.0,64,anthropic,-0.9313485971781579,2.609375,3.515625,3.0625,0.14881624276829095,0.0,-0.0841117216117216,1.15625,-3.540723597178158,-4.446973597178157
rollout_summary_reward_hack_search_beta0p01_policy_step_350.json,reward_hack_search_beta0p01_policy_step_350,ppo_beta0p01,PPO,ppo,reward_hack_search_beta0p01/policy_step_350,350,0.01,0.0,64,anthropic,-0.9014863138730472,2.90625,3.59375,3.25,0.1944266693672227,-0.001212751492857933,0.0950091575091575,0.96875,-3.8077363138730473,-4.495236313873047
rollout_summary_reward_hack_search_beta0p01_policy_step_350.json,reward_hack_search_beta0p01_policy_step_350,ppo_beta0p01,PPO,dpo,reward_hack_search_beta0p01/policy_step_350,350,0.01,0.0,64,anthropic,-0.7791395490543079,2.765625,3.65625,3.2109375,0.19507266750582028,0.0948180090636015,0.25618131868131866,1.109375,-3.544764549054308,-4.435389549054308
rollout_summary_reward_hack_search_beta0p01_policy_step_400.json,reward_hack_search_beta0p01_policy_step_400,ppo_beta0p01,PPO,sft,reward_hack_search_beta0p01/policy_step_400,400,0.01,0.0,64,anthropic,-0.9313485971781579,2.65625,3.5625,3.109375,0.14881624276829095,0.0,-0.08131868131868132,1.1875,-3.587598597178158,-4.493848597178157
rollout_summary_reward_hack_search_beta0p01_policy_step_400.json,reward_hack_search_beta0p01_policy_step_400,ppo_beta0p01,PPO,ppo,reward_hack_search_beta0p01/policy_step_400,400,0.01,0.0,64,anthropic,-0.9127612067185435,2.84375,3.609375,3.2265625,0.19146188093552313,-0.0011949180625379086,0.23232600732600728,1.109375,-3.7565112067185433,-4.522136206718543
rollout_summary_reward_hack_search_beta0p01_policy_step_400.json,reward_hack_search_beta0p01_policy_step_400,ppo_beta0p01,PPO,dpo,reward_hack_search_beta0p01/policy_step_400,400,0.01,0.0,64,anthropic,-0.7791395490543079,2.7578125,3.671875,3.21484375,0.19507266750582028,0.0948180090636015,0.3116758241758241,1.2109375,-3.536952049054308,-4.451014549054308
rollout_summary_reward_hack_search_beta0p03.json,reward_hack_search_beta0p03,ppo_beta0p03,PPO,sft,reward_hack_search_beta0p03/policy_after_pilot,,0.03,0.0,64,anthropic,-0.9313485971781579,2.71875,3.484375,3.1015625,0.14881624276829095,0.0,0.003617216117216117,1.140625,-3.650098597178158,-4.415723597178157
rollout_summary_reward_hack_search_beta0p03.json,reward_hack_search_beta0p03,ppo_beta0p03,PPO,ppo,reward_hack_search_beta0p03/policy_after_pilot,,0.03,0.0,64,anthropic,-0.9155970498982545,2.828125,3.671875,3.25,0.18863539405459556,-0.010673977434635162,-0.0347069597069597,1.15625,-3.7437220498982544,-4.587472049898254
rollout_summary_reward_hack_search_beta0p03.json,reward_hack_search_beta0p03,ppo_beta0p03,PPO,dpo,reward_hack_search_beta0p03/policy_after_pilot,,0.03,0.0,64,anthropic,-0.7791395490543079,2.75,3.765625,3.2578125,0.19507266750582028,0.0948180090636015,0.27115384615384613,1.203125,-3.529139549054308,-4.544764549054308
rollout_summary_reward_hack_search_beta0p03_policy_step_250.json,reward_hack_search_beta0p03_policy_step_250,ppo_beta0p03,PPO,sft,reward_hack_search_beta0p03/policy_step_250,250,0.03,0.0,64,anthropic,-0.9313485971781579,2.6875,3.5,3.09375,0.14881624276829095,0.0,-0.007234432234432234,1.125,-3.618848597178158,-4.431348597178157
rollout_summary_reward_hack_search_beta0p03_policy_step_250.json,reward_hack_search_beta0p03_policy_step_250,ppo_beta0p03,PPO,ppo,reward_hack_search_beta0p03/policy_step_250,250,0.03,0.0,64,anthropic,-0.8915140351076029,2.9140625,3.578125,3.24609375,0.19179804843767892,-0.006769548170268536,-0.013736263736263736,1.0546875,-3.805576535107603,-4.469639035107603
rollout_summary_reward_hack_search_beta0p03_policy_step_250.json,reward_hack_search_beta0p03_policy_step_250,ppo_beta0p03,PPO,dpo,reward_hack_search_beta0p03/policy_step_250,250,0.03,0.0,64,anthropic,-0.7791395490543079,2.84375,3.703125,3.2734375,0.19507266750582028,0.0948180090636015,0.23740842490842493,1.046875,-3.622889549054308,-4.482264549054308
rollout_summary_reward_hack_search_beta0p03_policy_step_350.json,reward_hack_search_beta0p03_policy_step_350,ppo_beta0p03,PPO,sft,reward_hack_search_beta0p03/policy_step_350,350,0.03,0.0,64,anthropic,-0.9313485971781579,2.65625,3.46875,3.0625,0.14881624276829095,0.0,-0.030448717948717948,1.0625,-3.587598597178158,-4.400098597178157
rollout_summary_reward_hack_search_beta0p03_policy_step_350.json,reward_hack_search_beta0p03_policy_step_350,ppo_beta0p03,PPO,ppo,reward_hack_search_beta0p03/policy_step_350,350,0.03,0.0,64,anthropic,-0.928202459202514,2.640625,3.640625,3.140625,0.1929054405488472,-0.009855926968157291,0.07422161172161171,1.21875,-3.568827459202514,-4.568827459202514
