label,family,lambda,mean_R_phi,mean_R_dagger,mean_R_dagger_2,mean_judge_avg,mean_u,mean_kl_sft,mean_judge_disagreement_abs,Delta_hack_proxy,Delta_hack_proxy_judge2,n
SFT,SFT,,-0.8165504251406974,2.80908203125,3.419921875,3.114501953125,0.17160908073788914,0.0,1.03466796875,-3.625632456390697,-4.236472300140697,512
DPO,DPO,,-0.7514320642487113,2.8740234375,3.59765625,3.23583984375,0.17936196238121055,0.09153041671015671,1.0712890625,-3.6254555017487116,-4.349088314248712,512
UP-PPO lambda=0.0,UP-PPO,0.0,-1.2452498847923164,1.5302734375,1.32421875,1.42724609375,0.2327459778910129,0.8661851834040135,0.6474609375,-2.775523322292316,-2.569468634792316,512
UP-PPO lambda=0.1,UP-PPO,0.1,-1.308409191637408,1.287109375,1.373046875,1.330078125,0.23160843461244374,1.2151313698850572,0.44921875,-2.5955185666374083,-2.6814560666374083,512
UP-PPO lambda=0.5,UP-PPO,0.5,-1.2593567936833792,1.3388671875,1.404296875,1.37158203125,0.21877939487206155,0.7760051368386485,0.4736328125,-2.598223981183379,-2.663653668683379,512
UP-PPO lambda=1.0,UP-PPO,1.0,-1.2319422325525096,1.271484375,1.3515625,1.3115234375,0.22513099837242345,1.4787838319316506,0.423828125,-2.50342660755251,-2.58350473255251,512
