condition,n,mean_words,distinct_1,distinct_2,repeat_4gram_fraction
PPO beta=0 step1200,64,45.265625,0.6849210111043401,0.8351531301168997,0.03799707730010331
UP-PPO lambda=0.1 step1200,64,34.0625,0.6536436429764032,0.7655826057022799,0.02256318141734808
UP-PPO lambda=0.1 step600,64,55.125,0.6074949504653616,0.7788889454162397,0.017935782013089915
PPO beta=0.03 best,64,50.0625,0.6655113388709769,0.8697199001435566,0.05359639182203906
